attraction_name,city,province,district,attraction_type,famous_or_hidden_gem,suggested_activities,tourist_tips,safety_level,image_url
Hikkaduwa Beach,Hikkaduwa,Southern Province,Galle District,Beaches,Famous Tourist Spot,Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Whale and dolphin watching nearby,Check for rip tides before swimming — many beaches have no lifeguards. Visit early morning or late afternoon to avoid crowds. Carry sunscreen and stay hydrated.,Safe,https://upload.wikimedia.org/wikipedia/commons/6/68/Hikkaduwa_beach_beauty.jpg
Mirissa Beach,Mirissa,Southern Province,Matara District,Beaches,Famous Tourist Spot,Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Whale and dolphin watching nearby,Check for rip tides before swimming — many beaches have no lifeguards. Visit early morning or late afternoon to avoid crowds. Carry sunscreen and stay hydrated.,Safe,https://upload.wikimedia.org/wikipedia/commons/a/a5/Mirissa-Plage_%283%29.jpg
Unawatuna Beach,Unawatuna,Southern Province,Galle District,Beaches,Famous Tourist Spot,Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Whale and dolphin watching nearby,Check for rip tides before swimming — many beaches have no lifeguards. Visit early morning or late afternoon to avoid crowds. Carry sunscreen and stay hydrated.,Safe,https://upload.wikimedia.org/wikipedia/commons/e/ef/Jungle_Beach%2C_Unawatuna%2C_Sri_Lanka.jpg
Bentota Beach,Bentota,Western Province,Kalutara District,Beaches,Famous Tourist Spot,Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Whale and dolphin watching nearby,Check for rip tides before swimming — many beaches have no lifeguards. Visit early morning or late afternoon to avoid crowds. Carry sunscreen and stay hydrated.,Safe,https://upload.wikimedia.org/wikipedia/commons/c/c5/Sri_Lanka%2C_Bentota%2C_beach_%282%29.JPG
Negombo Beach,Negombo,North Western Province,Gampaha District,Beaches,Famous Tourist Spot,Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Whale and dolphin watching nearby,Check for rip tides before swimming — many beaches have no lifeguards. Visit early morning or late afternoon to avoid crowds. Carry sunscreen and stay hydrated.,Safe,https://upload.wikimedia.org/wikipedia/commons/f/f2/Negombo%2C_Beach%2C_2025-08_CN-03.jpg
Arugam Bay,Arugam Bay,Eastern Province,Ampara District,Beaches,Famous Tourist Spot,Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Whale and dolphin watching nearby,Check for rip tides before swimming — many beaches have no lifeguards. Visit early morning or late afternoon to avoid crowds. Carry sunscreen and stay hydrated.,Safe,https://upload.wikimedia.org/wikipedia/commons/d/d1/Arugam_Bay%2C_Heda_Oya%2C_2025-07_CN-01.jpg
Nilaveli Beach,Nilaveli,Eastern Province,Trincomalee District,Beaches,Famous Tourist Spot,Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Whale and dolphin watching nearby,Check for rip tides before swimming — many beaches have no lifeguards. Visit early morning or late afternoon to avoid crowds. Carry sunscreen and stay hydrated.,Safe,https://upload.wikimedia.org/wikipedia/commons/9/9b/Couple_on_Nilaveli_Beach.jpg
Passikudah Beach,Kalkudah,Eastern Province,Batticaloa District,Beaches,Famous Tourist Spot,Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Whale and dolphin watching nearby,Check for rip tides before swimming — many beaches have no lifeguards. Visit early morning or late afternoon to avoid crowds. Carry sunscreen and stay hydrated.,Safe,https://upload.wikimedia.org/wikipedia/commons/a/a9/Passikudah_beach.jpg
Marble Beach,Trincomalee,Eastern Province,Trincomalee District,Beaches,Famous Tourist Spot,Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Whale and dolphin watching nearby,Check for rip tides before swimming — many beaches have no lifeguards. Visit early morning or late afternoon to avoid crowds. Carry sunscreen and stay hydrated.,Safe,https://upload.wikimedia.org/wikipedia/commons/d/d3/Marble_beach_Trincomalee_close_view.jpg
Jungle Beach,Unawatuna,Southern Province,Galle District,Beaches,Hidden Gem,Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Whale and dolphin watching nearby,Check for rip tides before swimming — many beaches have no lifeguards. Visit early morning or late afternoon to avoid crowds. Carry sunscreen and stay hydrated.,Safe,https://upload.wikimedia.org/wikipedia/commons/e/ef/Jungle_Beach%2C_Unawatuna%2C_Sri_Lanka.jpg
