Location_Name,Located_City,Location,Location_Type,User_ID,User_Location,User_Locale,User_Contributions,Travel_Date,Published_Date,Rating,Helpful_Votes,Title,Text
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 1,"Dunsborough, Australia",en_US,8,2019-07,2019-07-31T07:53:21-04:00,5,1,Best nail spa in Arugam bay on the water! ,"I had a manicure here and it really was professional and clean.  It is right on the Ocean so very relaxing. Suzanne was my consultant and her brother Dan who works there was very helpful when the local knowledge.  I will go back for massage and foot masssge. 
They also have s business in Hikkaduwa when you head South. "
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 2,"Bendigo, Australia",en_US,4,2019-06,2019-07-21T21:50:11-04:00,4,0,Best for surfing,"Overall, it is a wonderful experience. We visited Arugam bay last month during our anniversary. You will find many things to do from the restaurants to the beautiful white beach. The water was warm, and the tide is calm and really good place for surfing. Its a perfect day to go to the beach and have a picnic."
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 3,"Melbourne, Australia",en_US,13,2019-07,2019-07-15T18:52:55-04:00,5,0,We Love Arugam Bay,"Great place to chill, swim, surf, eat, shop, have sunset cocktails, its the best!!! The vibe is layback and friendly. I would highly recommend to anybody!"
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 4,"Ericeira, Portugal",en_US,4,2019-06,2019-07-03T10:32:41-04:00,5,0,Sun and waves.,Good place for surf and a few stores to going for shopping. Very good place for rest and surf. Good clean beach with warm water. Everyone are friendly and always smiling.
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 5,"Pistoia, Italy",en_US,14,2019-07,2019-07-02T17:07:02-04:00,5,0,"Great swimming, surfing, great fish aznd friendly people","This place is great for surfing but even if you are not a surfer you can have a wonderful time swimming around the bay, visiting the natural reserves, socialising or trying out local and international food."
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 6,"Dubai, United Arab Emirates",en_US,39,2019-06,2019-06-12T21:25:10-04:00,5,4,Raw piece of paradise ,"Just wrapped up eight days in Sri Lankas Arugam Bay - a rather rare part of the world in that its still relatively raw and untouched by commercialization and development. It truly is a surfers paradise, with a main point in Arugam Bay itself and various others within 15-20 minutes by Tuk Tuk. We spent most of our time at Whiskey Point as that was where the swell was best  we visited in early June. The beach is also spacious at that point and offers a lot of room to throw a towel down and swim/surf. Not much else though so would not recommend to stay near there. Arugam Bay is definitely where its at as there are restaurants/cafes and a few bars. 

Some points to make:

This destination is about surfing, yoga and chilling. Theres waves for all kinds of riders and many day trips on offer - safari, jungle, etc. Its crucial to go during the right season though. I imagine most restaurants and places are closed otherwise, which would be a shame as youd not get to explore this lovely place for what it is - a dream for many travelers! 

Theres not much of a beachfront; its filled with boats and so you probably wont spend much time laying on the beach in A Bay. This didnt bother us as we were busy surfing and then catching a break in the room mid day. But I can see some people putting up a fuss over this so figured its worth a mention. If you want to sunbathe a lot, stay somewhere with a pool. 

The mornings and evenings are lovey but it does get pretty hot & sweaty in the afternoon. Do yourself a favor and make sure you get a room with A/C. Nothing like being able to chill out in a cool room after a busy morning out on the beach or riding around. 

The area is predominantly Muslim so there are a lot of limitations on alcohol availability. You cant get beer or hard alcohol at that many places - maybe 3 to 4 spots along the main strip. Only one bottle shop with actual hard liquor (down a road at the end of Arugam Bay where there is a holiday inn sign) and one with beer (Meenas) to buy your own. Id suggest packing a bottle if you wanna enjoy drinks in your room or whatever where youre staying. Def places to grab cocktails though so no sweat if you just want a rum and coke here and there. This is something I wish I knew in advance - def wouldve liked to have my own supply for my room and by the pool in the afternoon or evening! That being said, Arugam Bay is cheap and the cocktails will only cost you like $3-$5 at the bars that have them so you can drink to your hearts desire even on a budget. Hideaway Resorts Bar has great cocktails. Spice Trail bar has wine and bubbles (by the bottle) - both are next to each other. 

Last thing: we split our stay between two places .. Bay Vista, with a beach view and balcony .. and Spice Trail, which had a pool. This was such a good combo. We loved sitting on our balcony and enjoying the beach views for a few days. But it was equally enjoyable to go for a refreshing dip in the pool when we moved resorts. Both in the best location as well. All in all, we had an awesome trip with loads of surfing & lots of down time to chill and read. Its a very mellow and chilled out place so definitely go expecting that kinda vibe. Happy surfing ??

Also, photo attached for transport service we used. Very comfortable and efficient for journey to Arugam from Colombo. Sanju is a great guy! "
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 7,"Bajawa, Indonesia",en_US,99,2018-07,2019-06-04T17:28:37-04:00,5,0,Good place for surf and chilling,"At far away 2011 year there was not too many surfers and tourists. The place is a bit wild, but good :)
You can swim or surf or walk around or rent a scooter and fly all around.
Very calm and slow environment :)"
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 8,"Vancouver, Canada",en_US,3,2019-05,2019-05-28T21:44:20-04:00,5,0,Beautiful surf spots!,"Arugam Bay has everything you need, food service and many surf spots to enjoy! I especially loved being on the beach and swimming almost 24/7 and renting a Bike and self touring surrounding Lagoons, beaches and city streets. So much to see and do!"
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 9,"Wanaka, New Zealand",en_CA,25,2019-04,2019-05-27T07:40:12-04:00,5,0,Sleep where you can hear the ocean..,"Just spent two nights in Arugam bay and will be return for another two on our way back South, as we really liked it. Surf was good for intermediates like us and I personally found the locals in the surf friendly (just dont jump on their wave-common surf sense). Board hire from Raphs was great, staff give good break tips. There are real coffee shops!!! and lots of restaurants to pick from. Locals will ask if you need a tuktuk, to eat at their restaurant, come surfing with their tour or even just say hello. . Remember, things are pretty slow for these guys atm. We were just polite and said hello, no thank you,no thank you, and walked on. We never felt pushed into anything tho. 
Tips-there are some nice places to stay at, some with character too! Prices are somewhat negotiable atm, so you could rock up and walk around or if not, Id recommend somewhere on the beach, then you can use their deck chairs for free. We just brought a smoothie each day at the restaurant near the main break and used their chairs. That worked also. 
Surfing? Booties could be handy, as there is a few metres of coral on the walk out at the main break but we didnt have any and all good. "
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 10,"London, United Kingdom",en_us,46,2018-09,2019-05-14T09:28:22-04:00,1,9,Beware of sexual assaults by locals,"My partner and I have visited Arugam Bay in Sri Lanka a few times as he is a surfer. We found the town very commercial, very catered for tourists - which is fine. There are some lovely restaurants with great local food dishes and some really nice (basic) rooms. Many facilities here are overpriced because of this being a tourist hotspot, but that is to be expected.

Tuk Tuk drivers can be very full on - and annoying - when they dont take no for an answer and they overcharge horrendously. Most places are in walking distance so dont give in to the pressure unless you need to go out of town. Its cheaper to hire a bike or moped for those journeys.

What is truly awful, however, is I was groped on the main part of the beach by some young local lads. They came over, looking like they want to shake hands and welcome us. One shook my hand and then grabbed my chest, before laughing and walking away. It was disgusting, I was shocked and distressed and didnt know what to do. They were old enough to know better and at the end of the day, they just freely sexually assaulted someone in broad daylight!

I was already feeling uncomfortable as the men tend to leer and watch tourist women very closely - and Im not meaning when theyre in bikinis or swimwear. Just generally. So this is a warning to girls and women - please take care, avoid being out alone and especially walking on the beach or when its dark. It really isnt a pleasant experience and is treated as a joke by the men doing this."
