hotel_name,room_type,max_guests,star_rating,province,district,nearest_cities,activities_at_hotel,nearby_attractions,activities_at_nearby_places,scene_type,image_url,price_per_night_usd,features,description,latitude,longitude
D'Villa Garden House,Private room in guest suite,2,4.61,North Central Province,Anuradhapura District,Anuradhapura,Relaxing walks through the hotel garden; Garden photography; Birdwatching in the garden; Swimming in the nearby lake; Boat ride on the nearby lake or river; Fishing at the nearby lake; Kayaking in the nearby water; Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Jaya Sri Maha Bodhi (Religious Sites); Ruwanwelisaya (Religious Sites); Isurumuniya Temple (Religious Sites); Jethawanaramaya Stupa (Religious Sites); Abhayagiri Dagaba (Religious Sites); Dagoba of Thuparama (Religious Sites),Swimming in the lake; Boat rides and lake tours; Fishing with local fishermen; Lakeside cycling and walking; Kayaking and canoeing; Sunset viewing over the water; Bird watching around the lake; Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas,garden | tropical | nature,https://images.pexels.com/photos/30495320/pexels-photo-30495320.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$61,Garden; Air Conditioning; Free WiFi,Let the fragrance of tropical blooms welcome you to D'Villa Garden House — a charming guest suite in Anuradhapura with a garden retreat feel and proximity to Jaya Sri Maha Bodhi.,8.325343,80.356201
"Suppar villa, a vacation home",Entire home,6,4.5,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,villa | luxury | tropical,https://images.pexels.com/photos/24805054/pexels-photo-24805054.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$176,Beach Access; Spa & Wellness; Full Kitchen; Family Friendly; Free Parking; Air Conditioning,"Indulge in effortless elegance at Suppar villa, a vacation home, a sophisticated home in Colombo where Beach Access and Spa & Wellness set the tone for an unforgettable stay.",6.904603,79.833521
Relaxing 2 BR home closer to Nallur temple,Entire vacation home,4,Not rated,Northern Province,Jaffna District,Jaffna,Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Nallur Kovil (Religious Sites); Jaffna Fort (Historic Sites); Nainativu Nagapooshani Amman Temple (Religious Sites); Jaffna Public Library (Historic Sites); Nallur Kovil Jaffna (Religious Sites); Nagadeepa Purana Viharaya (Religious Sites),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Temple and shrine visits; Attending religious ceremonies and festivals; Meditation and spiritual walks; Guided cultural heritage tours; Photography of ancient architecture,heritage | tropical | garden,https://images.pexels.com/photos/33824473/pexels-photo-33824473.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$60,Full Kitchen; Heritage Property; Garden; Free Parking; Air Conditioning; Free WiFi,"Steeped in history and character, Relaxing 2 BR home closer to Nallur temple is a remarkable vacation home in Jaffna where colonial charm meets modern comfort, just moments from Nallur Kovil.",9.685147,80.04317
Brinthavanam days inn /Non Ac/Free Veg Break fast,Private room in guesthouse,2,4.44,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,guesthouse | tropical | homely,https://images.pexels.com/photos/26729563/pexels-photo-26729563.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$41,Beach Access; Breakfast Included; Restaurant On-site; Free Parking; Free WiFi,"Enjoy an authentic stay at Brinthavanam days inn /Non Ac/Free Veg Break fast, a well-appointed guesthouse room in Colombo with Beach Access and a short distance from Mount Lavinia Beach.",6.966318,79.819894
Lone Star Residence,Entire home,6,4.71,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,guesthouse | tropical | homely,https://images.pexels.com/photos/33790768/pexels-photo-33790768.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$111,Beach Access; Full Kitchen; Family Friendly; Free Parking; Air Conditioning; Free WiFi,Lone Star Residence is a comfortable home retreat in Colombo — a perfect base for exploring Mount Lavinia Beach with the comfort of Beach Access and Full Kitchen.,6.919292,79.81418
Valli Farm Stay with a view and fun Activities,Farm stay,3,4.85,Central Province,Nuwara Eliya District,Nuwara Eliya,Farm activities and animal feeding; Organic cooking experience; Farm-to-table dining; Scenic viewpoint photography; Sunrise and sunset watching from the property; Swimming in the nearby lake; Boat ride on the nearby lake or river; Fishing at the nearby lake; Kayaking in the nearby water; Tea tasting at a nearby tea estate; Guided tea plantation walk; Tea factory tour,Horton Plains National Park (National Parks); Hakgala Botanic Gardens (Gardens); Victoria Park Nuwara Eliya (Gardens); Pedro Tea Factory (Farms); Bluefield Tea Gardens (Farms); Ambewela Farms (Farms),Swimming in the lake; Boat rides and lake tours; Fishing with local fishermen; Lakeside cycling and walking; Kayaking and canoeing; Sunset viewing over the water; Bird watching around the lake; Guided tea plantation walks; Tea factory tours and tea tasting; Scenic walks through tea fields; Learning the tea production process; Meeting local tea pickers,farm | countryside | nature,https://images.pexels.com/photos/16901228/pexels-photo-16901228.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$68,Free WiFi,"Immerse yourself in the green serenity of Nuwara Eliya's natural landscape at Valli Farm Stay with a view and fun Activities, a nature-immersed farm stay retreat with Free WiFi and warm hospitality.",6.921564,80.789636
SATK INN - Deluxe Family Room,Room in hotel,3,Not rated,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,hotel | lobby | luxury,https://images.pexels.com/photos/10610440/pexels-photo-10610440.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$107,Beach Access; Spa & Wellness; Breakfast Included; Restaurant On-site; Air Conditioning; Free WiFi,"Indulge in effortless elegance at SATK INN - Deluxe Family Room, a sophisticated hotel room in Colombo where Beach Access and Spa & Wellness set the tone for an unforgettable stay.",6.879754,79.831084
One bedroom apartment,Private room in condo,3,Not rated,Eastern Province,Trincomalee District,"Trincomalee, Nilaveli",Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Day trip to nearby temples and shrines; Attending local festivals and ceremonies; Jeep safari to the nearby national park; Bird watching in the national park; Wildlife photography on a guided tour,Nilaveli Beach (Beaches); Marble Beach (Beaches); Pigeon Island National Park (National Parks); Koneswaram Temple (Religious Sites); Kanniya Hot Springs (Nature & Wildlife Areas); Fort Frederick Trincomalee (Historic Sites),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Temple and shrine visits; Attending religious ceremonies and festivals; Meditation and spiritual walks; Guided cultural heritage tours,apartment | modern | city,https://images.pexels.com/photos/3462512/pexels-photo-3462512.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$72,Beach Access; Air Conditioning; Free WiFi,"Perfectly positioned in the pulse of Trincomalee, One bedroom apartment is a sleek condo room offering Beach Access, Air Conditioning, and effortless access to Nilaveli Beach.",8.602388,81.219694
Charming 1 Cabana Resort with Pool,Private room in resort,4,4.38,Southern Province,Matara District,"Mirissa, Weligatta",Swimming in the hotel pool; Poolside relaxation and sunbathing; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Jeep safari to the nearby national park; Bird watching in the national park; Wildlife photography on a guided tour,Mirissa Beach (Beaches); Weligama Beach (Beaches); Parrot Rock Mirissa (Viewpoints); Mirissa Whale Watching (Adventure & Sports); Dondra Head Lighthouse (Viewpoints); Weherehena Temple Matara (Religious Sites),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Jeep safari to spot elephants and leopards; Bird watching with a local guide; Wildlife tracking walks; Nature photography,pool | villa | tropical,https://images.pexels.com/photos/32262440/pexels-photo-32262440.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$142,Swimming Pool; Beach Access; Restaurant On-site; Free Parking; Air Conditioning; Free WiFi,"Nestled in Mirissa's resort-style landscape, Charming 1 Cabana Resort with Pool offers a serene poolside sanctuary with Swimming Pool and Beach Access.",5.926944,80.563927
"""Mathura"" Home / Two rooms for rental in Jaffna",Entire home,4,4,Northern Province,Jaffna District,Jaffna,Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Nallur Kovil (Religious Sites); Jaffna Fort (Historic Sites); Nainativu Nagapooshani Amman Temple (Religious Sites); Jaffna Public Library (Historic Sites); Nallur Kovil Jaffna (Religious Sites); Nagadeepa Purana Viharaya (Religious Sites),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Temple and shrine visits; Attending religious ceremonies and festivals; Meditation and spiritual walks; Guided cultural heritage tours; Photography of ancient architecture,heritage | tropical | garden,https://images.pexels.com/photos/15723937/pexels-photo-15723937.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$95,Full Kitchen; Heritage Property; Garden; Free Parking; Air Conditioning; Free WiFi,"Steeped in history and character, ""Mathura"" Home / Two rooms for rental in Jaffna is a remarkable home in Jaffna where colonial charm meets modern comfort, just moments from Nallur Kovil.",9.692443,79.97615
